iter	Passed	Remaining
0	1	182
1	3	167
2	4	143
3	5	121
4	5	113
5	6	108
6	8	107
7	10	115
8	11	116
9	12	114
10	13	110
11	14	106
12	15	103
13	16	100
14	17	98
15	18	97
16	19	94
17	20	92
18	21	90
19	22	90
20	25	94
21	26	93
22	27	91
23	28	89
24	29	87
25	30	85
26	31	83
27	31	82
28	33	81
29	34	79
30	35	78
31	36	77
32	38	77
33	40	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	70
39	46	69
40	47	67
41	47	65
42	48	64
43	49	63
44	51	62
45	53	62
46	55	62
47	56	60
48	57	59
49	58	58
50	59	56
51	60	55
52	61	54
53	62	53
54	62	51
55	63	50
56	65	49
57	66	48
58	69	48
59	70	47
60	72	46
61	73	44
62	74	43
63	74	42
64	75	40
65	76	39
66	77	38
67	79	37
68	80	36
69	82	35
70	84	34
71	85	33
72	86	32
73	87	30
74	88	29
75	89	28
76	90	27
77	92	25
78	93	24
79	94	23
80	95	22
81	97	21
82	99	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	107	11
90	108	10
91	108	9
92	110	8
93	112	7
94	114	6
95	115	4
96	116	3
97	116	2
98	117	1
99	118	0
